in s,C1 in V,C2 in V
-2.9979727E-01,5.86223E+00,6.34223E+00
-2.9978347E-01,5.89152E+00,6.28363E+00
-2.9976967E-01,5.83293E+00,6.40082E+00
-2.9975587E-01,5.89152E+00,6.34223E+00
-2.9974207E-01,5.92082E+00,6.37152E+00
-2.9972827E-01,5.89152E+00,6.28363E+00
-2.9971447E-01,5.92082E+00,6.37152E+00
-2.9970067E-01,5.89152E+00,6.31293E+00
-2.9968687E-01,5.80363E+00,6.40082E+00
-2.9967307E-01,5.89152E+00,6.40082E+00
-2.9965927E-01,5.86223E+00,6.43012E+00
-2.9964547E-01,5.92082E+00,6.40082E+00
-2.9963167E-01,5.89152E+00,6.34223E+00
-2.9961787E-01,5.83293E+00,6.43012E+00
-2.9960407E-01,5.92082E+00,6.40082E+00
-2.9959027E-01,5.89152E+00,6.45941E+00
-2.9957647E-01,5.92082E+00,6.40082E+00
-2.9956267E-01,5.89152E+00,6.40082E+00
-2.9954887E-01,5.86223E+00,6.40082E+00
-2.9953507E-01,5.83293E+00,6.40082E+00
-2.9952127E-01,5.89152E+00,6.34223E+00
-2.9950747E-01,5.92082E+00,6.40082E+00
-2.9949367E-01,6.00871E+00,6.43012E+00
-2.9947987E-01,5.80363E+00,6.48871E+00
-2.9946607E-01,5.92082E+00,6.43012E+00
-2.9945227E-01,5.83293E+00,6.34223E+00
-2.9943847E-01,5.83293E+00,6.40082E+00
-2.9942467E-01,5.83293E+00,6.48871E+00
-2.9941087E-01,5.83293E+00,6.34223E+00
-2.9939707E-01,5.89152E+00,6.31293E+00
-2.9938327E-01,5.80363E+00,6.40082E+00
-2.9936947E-01,5.89152E+00,6.40082E+00
-2.9935567E-01,5.89152E+00,6.51801E+00
-2.9934187E-01,5.83293E+00,6.37152E+00
-2.9932807E-01,5.83293E+00,6.40082E+00
-2.9931427E-01,5.86223E+00,6.37152E+00
-2.9930047E-01,5.74504E+00,6.48871E+00
-2.9928667E-01,5.97941E+00,6.31293E+00
-2.9927287E-01,5.86223E+00,6.40082E+00
-2.9925907E-01,5.86223E+00,6.37152E+00
-2.9924527E-01,5.92082E+00,6.45941E+00
-2.9923147E-01,5.89152E+00,6.43012E+00
-2.9921767E-01,6.00871E+00,6.48871E+00
-2.9920387E-01,5.80363E+00,6.40082E+00
-2.9919007E-01,5.92082E+00,6.48871E+00
-2.9917627E-01,5.83293E+00,6.37152E+00
-2.9916247E-01,5.86223E+00,6.43012E+00
-2.9914867E-01,5.89152E+00,6.43012E+00
-2.9913487E-01,5.89152E+00,6.48871E+00
-2.9912107E-01,5.89152E+00,6.40082E+00
-2.9910727E-01,5.83293E+00,6.48871E+00
-2.9909347E-01,5.86223E+00,6.45941E+00
-2.9907967E-01,5.83293E+00,6.48871E+00
-2.9906587E-01,5.92082E+00,6.51801E+00
-2.9905207E-01,5.92082E+00,6.43012E+00
-2.9903827E-01,5.92082E+00,6.45941E+00
-2.9902447E-01,5.80363E+00,6.48871E+00
-2.9901067E-01,5.86223E+00,6.45941E+00
-2.9899687E-01,5.97941E+00,6.48871E+00
-2.9898307E-01,5.92082E+00,6.45941E+00
-2.9896927E-01,5.83293E+00,6.45941E+00
-2.9895547E-01,5.95012E+00,6.43012E+00
-2.9894167E-01,5.89152E+00,6.51801E+00
-2.9892787E-01,5.80363E+00,6.45941E+00
-2.9891407E-01,5.97941E+00,6.51801E+00
-2.9890027E-01,5.92082E+00,6.45941E+00
-2.9888647E-01,5.92082E+00,6.48871E+00
-2.9887267E-01,5.92082E+00,6.51801E+00
-2.9885887E-01,5.89152E+00,6.40082E+00
-2.9884507E-01,5.83293E+00,6.48871E+00
-2.9883127E-01,6.00871E+00,6.48871E+00
-2.9881747E-01,5.83293E+00,6.54730E+00
-2.9880367E-01,5.92082E+00,6.48871E+00
-2.9878987E-01,5.95012E+00,6.43012E+00
-2.9877607E-01,5.95012E+00,6.51801E+00
-2.9876227E-01,5.95012E+00,6.48871E+00
-2.9874847E-01,5.92082E+00,6.45941E+00
-2.9873467E-01,5.92082E+00,6.45941E+00
-2.9872087E-01,5.83293E+00,6.48871E+00
-2.9870707E-01,5.86223E+00,6.54730E+00
-2.9869327E-01,5.92082E+00,6.54730E+00
