in s,C1 in V,C2 in V
-1.29960E-01,1.05420E+01,1.08648E+01
-1.29936E-01,1.04443E+01,1.07671E+01
-1.29912E-01,1.04443E+01,1.08648E+01
-1.29888E-01,1.05420E+01,1.09429E+01
-1.29864E-01,1.04443E+01,1.08648E+01
-1.29840E-01,1.05420E+01,1.09429E+01
-1.29816E-01,1.05420E+01,1.09234E+01
-1.29792E-01,1.04932E+01,1.09038E+01
-1.29768E-01,1.05420E+01,1.07280E+01
-1.29744E-01,1.04932E+01,1.08843E+01
-1.29720E-01,1.04932E+01,1.09624E+01
-1.29696E-01,1.04443E+01,1.06695E+01
-1.29672E-01,1.05908E+01,1.09429E+01
-1.29648E-01,1.05420E+01,1.08452E+01
-1.29624E-01,1.04443E+01,1.07866E+01
-1.29600E-01,1.05420E+01,1.07866E+01
-1.29576E-01,1.06396E+01,1.08648E+01
-1.29552E-01,1.05420E+01,1.08648E+01
-1.29528E-01,1.06396E+01,1.09429E+01
-1.29504E-01,1.06396E+01,1.07671E+01
-1.29480E-01,1.03955E+01,1.08062E+01
-1.29456E-01,1.06396E+01,1.06890E+01
-1.29432E-01,1.05420E+01,1.07476E+01
-1.29408E-01,1.06885E+01,1.06890E+01
-1.29384E-01,1.08350E+01,1.07671E+01
-1.29360E-01,1.05908E+01,1.07476E+01
-1.29336E-01,1.05908E+01,1.07476E+01
-1.29312E-01,1.07861E+01,1.08452E+01
-1.29288E-01,1.05420E+01,1.08062E+01
-1.29264E-01,1.06885E+01,1.07671E+01
-1.29240E-01,1.05420E+01,1.06890E+01
-1.29216E-01,1.07861E+01,1.07476E+01
-1.29192E-01,1.07373E+01,1.07476E+01
-1.29168E-01,1.07373E+01,1.06890E+01
-1.29144E-01,1.06396E+01,1.07671E+01
-1.29120E-01,1.07373E+01,1.07866E+01
-1.29096E-01,1.07373E+01,1.07476E+01
-1.29072E-01,1.05908E+01,1.06695E+01
-1.29048E-01,1.07861E+01,1.07280E+01
-1.29024E-01,1.07861E+01,1.07476E+01
-1.29000E-01,1.07373E+01,1.07476E+01
-1.28976E-01,1.08838E+01,1.07671E+01
-1.28952E-01,1.07373E+01,1.07280E+01
-1.28928E-01,1.08350E+01,1.07671E+01
-1.28904E-01,1.07373E+01,1.07866E+01
-1.28880E-01,1.09326E+01,1.08257E+01
-1.28856E-01,1.10303E+01,1.08648E+01
