in s,C1 in V,C2 in V
-2.9238E-02,1.13721E+01,1.13191E+01
-2.9232E-02,1.14697E+01,1.13191E+01
-2.9226E-02,1.13721E+01,1.12410E+01
-2.9220E-02,1.14697E+01,1.13582E+01
-2.9214E-02,1.15674E+01,1.12801E+01
-2.9208E-02,1.15186E+01,1.13191E+01
-2.9202E-02,1.14209E+01,1.13582E+01
-2.9196E-02,1.15674E+01,1.12215E+01
-2.9190E-02,1.14209E+01,1.12801E+01
-2.9184E-02,1.15674E+01,1.13582E+01
-2.9178E-02,1.15186E+01,1.13191E+01
-2.9172E-02,1.14209E+01,1.12801E+01
-2.9166E-02,1.14209E+01,1.13387E+01
-2.9160E-02,1.13721E+01,1.13387E+01
-2.9154E-02,1.15186E+01,1.12410E+01
-2.9148E-02,1.15186E+01,1.12801E+01
-2.9142E-02,1.17139E+01,1.12801E+01
-2.9136E-02,1.14697E+01,1.12410E+01
-2.9130E-02,1.15186E+01,1.12801E+01
-2.9124E-02,1.14697E+01,1.13191E+01
-2.9118E-02,1.15186E+01,1.12801E+01
-2.9112E-02,1.16162E+01,1.14168E+01
-2.9106E-02,1.15674E+01,1.12996E+01
-2.9100E-02,1.14697E+01,1.13387E+01
-2.9094E-02,1.15674E+01,1.12605E+01
-2.9088E-02,1.16650E+01,1.13387E+01
-2.9082E-02,1.15186E+01,1.12996E+01
-2.9076E-02,1.16162E+01,1.12410E+01
-2.9070E-02,1.15674E+01,1.12801E+01
-2.9064E-02,1.14697E+01,1.12996E+01
-2.9058E-02,1.14697E+01,1.13191E+01
-2.9052E-02,1.14697E+01,1.12215E+01
-2.9046E-02,1.16162E+01,1.12410E+01
-2.9040E-02,1.16650E+01,1.13387E+01
-2.9034E-02,1.15674E+01,1.12605E+01
-2.9028E-02,1.15674E+01,1.13582E+01
-2.9022E-02,1.17627E+01,1.12801E+01
-2.9016E-02,1.18115E+01,1.13582E+01
-2.9010E-02,1.17139E+01,1.12996E+01
-2.9004E-02,1.17627E+01,1.13387E+01
-2.8998E-02,1.17627E+01,1.14168E+01
-2.8992E-02,1.17627E+01,1.12801E+01
-2.8986E-02,1.18115E+01,1.13582E+01
-2.8980E-02,1.16650E+01,1.13582E+01
-2.8974E-02,1.17627E+01,1.13973E+01
-2.8968E-02,1.19092E+01,1.13582E+01
-2.8962E-02,1.16650E+01,1.13777E+01
-2.8956E-02,1.15674E+01,1.14754E+01
-2.8950E-02,1.17139E+01,1.13777E+01
-2.8944E-02,1.17627E+01,1.13582E+01
-2.8938E-02,1.15674E+01,1.13191E+01
-2.8932E-02,1.18604E+01,1.13777E+01
-2.8926E-02,1.16650E+01,1.13582E+01
-2.8920E-02,1.17139E+01,1.13777E+01
-2.8914E-02,1.18115E+01,1.14559E+01
-2.8908E-02,1.16650E+01,1.13973E+01
-2.8902E-02,1.17139E+01,1.13777E+01
-2.8896E-02,1.18604E+01,1.14363E+01
-2.8890E-02,1.18115E+01,1.13582E+01
-2.8884E-02,1.18115E+01,1.13191E+01
-2.8878E-02,1.17627E+01,1.14168E+01
-2.8872E-02,1.18604E+01,1.13582E+01
-2.8866E-02,1.18115E+01,1.13582E+01
-2.8860E-02,1.18604E+01,1.13973E+01
-2.8854E-02,1.16650E+01,1.14754E+01
-2.8848E-02,1.18115E+01,1.13777E+01
-2.8842E-02,1.19092E+01,1.13582E+01
-2.8836E-02,1.19580E+01,1.14363E+01
-2.8830E-02,1.18604E+01,1.14168E+01
-2.8824E-02,1.19092E+01,1.14168E+01
-2.8818E-02,1.19580E+01,1.14168E+01
-2.8812E-02,1.19580E+01,1.14754E+01
-2.8806E-02,1.19580E+01,1.14168E+01
-2.8800E-02,1.18115E+01,1.14168E+01
-2.8794E-02,1.18115E+01,1.14168E+01
-2.8788E-02,1.20557E+01,1.14168E+01
-2.8782E-02,1.20068E+01,1.13777E+01
-2.8776E-02,1.20557E+01,1.14363E+01
-2.8770E-02,1.18604E+01,1.14168E+01
-2.8764E-02,1.19580E+01,1.14363E+01
-2.8758E-02,1.19092E+01,1.14363E+01
-2.8752E-02,1.20068E+01,1.13777E+01
-2.8746E-02,1.20068E+01,1.14754E+01
-2.8740E-02,1.21533E+01,1.14754E+01
-2.8734E-02,1.20557E+01,1.15535E+01
-2.8728E-02,1.21045E+01,1.15145E+01
-2.8722E-02,1.21045E+01,1.14949E+01
-2.8716E-02,1.20068E+01,1.14559E+01
-2.8710E-02,1.19092E+01,1.15340E+01
-2.8704E-02,1.20557E+01,1.13777E+01
-2.8698E-02,1.21045E+01,1.14559E+01
-2.8692E-02,1.20068E+01,1.14168E+01
-2.8686E-02,1.19580E+01,1.13582E+01
-2.8680E-02,1.20068E+01,1.14363E+01
-2.8674E-02,1.20068E+01,1.14754E+01
-2.8668E-02,1.21045E+01,1.14168E+01
-2.8662E-02,1.19092E+01,1.15340E+01
-2.8656E-02,1.22510E+01,1.15535E+01
-2.8650E-02,1.20068E+01,1.14949E+01
-2.8644E-02,1.20068E+01,1.15730E+01
-2.8638E-02,1.21045E+01,1.15340E+01
-2.8632E-02,1.21045E+01,1.15145E+01
-2.8626E-02,1.21533E+01,1.14363E+01
-2.8620E-02,1.21533E+01,1.14754E+01
-2.8614E-02,1.21045E+01,1.14949E+01
-2.8608E-02,1.21533E+01,1.14949E+01
-2.8602E-02,1.20557E+01,1.15340E+01
-2.8596E-02,1.21533E+01,1.14363E+01
-2.8590E-02,1.20557E+01,1.14949E+01
-2.8584E-02,1.21045E+01,1.15535E+01
-2.8578E-02,1.20557E+01,1.15145E+01
-2.8572E-02,1.21533E+01,1.14949E+01
-2.8566E-02,1.22021E+01,1.15145E+01
-2.8560E-02,1.20557E+01,1.14754E+01
-2.8554E-02,1.22510E+01,1.14363E+01
-2.8548E-02,1.23486E+01,1.15340E+01
-2.8542E-02,1.21045E+01,1.15926E+01
-2.8536E-02,1.22510E+01,1.15340E+01
-2.8530E-02,1.21045E+01,1.15535E+01
-2.8524E-02,1.22998E+01,1.14949E+01
-2.8518E-02,1.20557E+01,1.15145E+01
-2.8512E-02,1.22021E+01,1.14559E+01
-2.8506E-02,1.22021E+01,1.15340E+01
-2.8500E-02,1.23486E+01,1.15340E+01
-2.8494E-02,1.22510E+01,1.15926E+01
-2.8488E-02,1.21533E+01,1.15145E+01
-2.8482E-02,1.22021E+01,1.15340E+01
-2.8476E-02,1.23975E+01,1.15340E+01
-2.8470E-02,1.22510E+01,1.15145E+01
-2.8464E-02,1.20557E+01,1.16316E+01
-2.8458E-02,1.22021E+01,1.15730E+01
-2.8452E-02,1.22998E+01,1.15145E+01
-2.8446E-02,1.22021E+01,1.15730E+01
-2.8440E-02,1.22510E+01,1.14754E+01
-2.8434E-02,1.21533E+01,1.15730E+01
-2.8428E-02,1.24463E+01,1.15145E+01
-2.8422E-02,1.22510E+01,1.15535E+01
-2.8416E-02,1.23486E+01,1.16512E+01
-2.8410E-02,1.23486E+01,1.16121E+01
-2.8404E-02,1.22998E+01,1.15730E+01
-2.8398E-02,1.22021E+01,1.15730E+01
-2.8392E-02,1.23486E+01,1.15926E+01
-2.8386E-02,1.24463E+01,1.15730E+01
-2.8380E-02,1.23975E+01,1.15730E+01
-2.8374E-02,1.23975E+01,1.16512E+01
-2.8368E-02,1.24463E+01,1.16316E+01
-2.8362E-02,1.22998E+01,1.16902E+01
-2.8356E-02,1.23486E+01,1.15926E+01
-2.8350E-02,1.23486E+01,1.16121E+01
-2.8344E-02,1.23486E+01,1.16512E+01
-2.8338E-02,1.24951E+01,1.16902E+01
-2.8332E-02,1.24463E+01,1.16316E+01
-2.8326E-02,1.24951E+01,1.16512E+01
-2.8320E-02,1.23975E+01,1.16316E+01
-2.8314E-02,1.23975E+01,1.17098E+01
-2.8308E-02,1.24463E+01,1.16121E+01
-2.8302E-02,1.22510E+01,1.16121E+01
-2.8296E-02,1.24463E+01,1.16707E+01
-2.8290E-02,1.23486E+01,1.16316E+01
-2.8284E-02,1.24463E+01,1.16707E+01
-2.8278E-02,1.23975E+01,1.15926E+01
-2.8272E-02,1.24951E+01,1.16512E+01
-2.8266E-02,1.25439E+01,1.15535E+01
-2.8260E-02,1.24951E+01,1.16316E+01
-2.8254E-02,1.23975E+01,1.16316E+01
-2.8248E-02,1.23975E+01,1.15926E+01
-2.8242E-02,1.24463E+01,1.16902E+01
-2.8236E-02,1.24463E+01,1.16512E+01
-2.8230E-02,1.25439E+01,1.16902E+01
-2.8224E-02,1.23486E+01,1.17098E+01
-2.8218E-02,1.23975E+01,1.15730E+01
-2.8212E-02,1.23975E+01,1.17684E+01
-2.8206E-02,1.25439E+01,1.16316E+01
