in s,C1 in V,C2 in V
-1.195920E+01,9.74121E+00,1.14502E+01
-1.195680E+01,9.49707E+00,1.10107E+01
-1.195440E+01,9.64355E+00,1.16943E+01
-1.195200E+01,9.79004E+00,1.11572E+01
-1.194960E+01,9.83887E+00,1.16455E+01
-1.194720E+01,9.74121E+00,1.13037E+01
-1.194480E+01,9.88770E+00,1.08643E+01
-1.194240E+01,9.74121E+00,1.18408E+01
-1.194000E+01,9.83887E+00,1.09131E+01
-1.193760E+01,9.69238E+00,1.14014E+01
-1.193520E+01,9.79004E+00,1.14502E+01
-1.193280E+01,9.54590E+00,1.10107E+01
-1.193040E+01,9.54590E+00,1.15479E+01
-1.192800E+01,9.79004E+00,1.08643E+01
-1.192560E+01,9.69238E+00,1.14502E+01
-1.192320E+01,9.59473E+00,1.14014E+01
-1.192080E+01,9.64355E+00,1.07666E+01
-1.191840E+01,9.59473E+00,1.14014E+01
-1.191600E+01,9.54590E+00,1.08154E+01
-1.191360E+01,9.44824E+00,1.12061E+01
-1.191120E+01,9.54590E+00,1.14502E+01
-1.190880E+01,9.49707E+00,1.09131E+01
-1.190640E+01,9.39941E+00,1.16455E+01
-1.190400E+01,9.49707E+00,1.08643E+01
-1.190160E+01,9.49707E+00,1.09619E+01
-1.189920E+01,9.44824E+00,1.14990E+01
-1.189680E+01,9.64355E+00,1.05713E+01
-1.189440E+01,9.64355E+00,1.13525E+01
-1.189200E+01,9.49707E+00,1.10596E+01
-1.188960E+01,9.35059E+00,1.08643E+01
-1.188720E+01,9.54590E+00,1.13037E+01
-1.188480E+01,9.59473E+00,1.06201E+01
-1.188240E+01,9.49707E+00,1.13037E+01
-1.188000E+01,9.49707E+00,1.12549E+01
-1.187760E+01,9.44824E+00,1.05713E+01
-1.187520E+01,9.49707E+00,1.13037E+01
-1.187280E+01,9.64355E+00,1.04736E+01
-1.187040E+01,9.35059E+00,1.10107E+01
-1.186800E+01,9.49707E+00,1.12061E+01
-1.186560E+01,9.49707E+00,1.06201E+01
-1.186320E+01,9.35059E+00,1.12549E+01
-1.186080E+01,9.39941E+00,1.06689E+01
-1.185840E+01,9.35059E+00,1.07666E+01
-1.185600E+01,9.44824E+00,1.13037E+01
-1.185360E+01,9.44824E+00,1.04736E+01
-1.185120E+01,9.44824E+00,1.10596E+01
-1.184880E+01,9.54590E+00,1.08643E+01
-1.184640E+01,9.25293E+00,1.06689E+01
-1.184400E+01,9.44824E+00,1.12061E+01
-1.184160E+01,9.35059E+00,1.05713E+01
-1.183920E+01,9.49707E+00,1.09619E+01
-1.183680E+01,9.30176E+00,1.12061E+01
-1.183440E+01,9.49707E+00,1.02783E+01
-1.183200E+01,9.10645E+00,1.09619E+01
-1.182960E+01,9.35059E+00,1.08643E+01
-1.182720E+01,9.30176E+00,1.04736E+01
-1.182480E+01,9.39941E+00,1.12061E+01
-1.182240E+01,9.54590E+00,1.04736E+01
-1.182000E+01,9.15527E+00,1.08154E+01
-1.181760E+01,9.25293E+00,1.09131E+01
-1.181520E+01,9.35059E+00,1.04736E+01
-1.181280E+01,9.25293E+00,1.08643E+01
-1.181040E+01,9.49707E+00,1.06201E+01
-1.180800E+01,9.44824E+00,1.05713E+01
-1.180560E+01,9.20410E+00,1.10596E+01
-1.180320E+01,9.10645E+00,1.03760E+01
-1.180080E+01,9.20410E+00,1.08154E+01
-1.179840E+01,9.10645E+00,1.06689E+01
-1.179600E+01,9.39941E+00,1.02295E+01
-1.179360E+01,9.30176E+00,1.09131E+01
-1.179120E+01,9.25293E+00,1.04736E+01
-1.178880E+01,9.05762E+00,1.03271E+01
-1.178640E+01,9.39941E+00,1.09131E+01
-1.178400E+01,9.10645E+00,1.01807E+01
-1.178160E+01,9.20410E+00,1.06201E+01
-1.177920E+01,9.15527E+00,1.05713E+01
-1.177680E+01,9.30176E+00,1.02783E+01
-1.177440E+01,9.05762E+00,1.09619E+01
-1.177200E+01,9.20410E+00,1.04736E+01
-1.176960E+01,9.20410E+00,1.03760E+01
-1.176720E+01,9.15527E+00,1.09131E+01
-1.176480E+01,9.10645E+00,1.02783E+01
-1.176240E+01,9.35059E+00,1.04736E+01
-1.176000E+01,9.10645E+00,1.08643E+01
-1.175760E+01,9.10645E+00,1.01318E+01
-1.175520E+01,9.10645E+00,1.06201E+01
-1.175280E+01,9.15527E+00,1.05225E+01
-1.175040E+01,9.15527E+00,1.02295E+01
-1.174800E+01,9.00879E+00,1.08154E+01
-1.174560E+01,9.10645E+00,1.01318E+01
-1.174320E+01,9.00879E+00,1.01807E+01
-1.174080E+01,9.10645E+00,1.04736E+01
-1.173840E+01,8.95996E+00,9.93652E+00
-1.173600E+01,9.00879E+00,1.05713E+01
-1.173360E+01,9.15527E+00,1.04736E+01
-1.173120E+01,9.25293E+00,1.01318E+01
-1.172880E+01,9.10645E+00,1.07666E+01
-1.172640E+01,9.00879E+00,1.02295E+01
-1.172400E+01,9.15527E+00,1.00342E+01
-1.172160E+01,9.10645E+00,1.07178E+01
-1.171920E+01,8.95996E+00,9.83887E+00
-1.171680E+01,9.00879E+00,1.01807E+01
-1.171440E+01,9.10645E+00,1.06201E+01
-1.171200E+01,9.00879E+00,1.01807E+01
-1.170960E+01,9.00879E+00,1.05713E+01
-1.170720E+01,9.00879E+00,1.03760E+01
-1.170480E+01,9.00879E+00,9.88770E+00
-1.170240E+01,8.95996E+00,1.04736E+01
-1.170000E+01,8.95996E+00,1.02295E+01
-1.169760E+01,8.95996E+00,9.83887E+00
-1.169520E+01,9.05762E+00,1.02783E+01
-1.169280E+01,9.05762E+00,9.98535E+00
-1.169040E+01,8.91113E+00,1.01318E+01
-1.168800E+01,9.00879E+00,1.04736E+01
-1.168560E+01,9.00879E+00,9.83887E+00
-1.168320E+01,9.00879E+00,1.02783E+01
-1.168080E+01,8.91113E+00,1.04736E+01
-1.167840E+01,8.86230E+00,9.74121E+00
-1.167600E+01,8.86230E+00,1.02783E+01
-1.167360E+01,9.05762E+00,1.01318E+01
-1.167120E+01,8.91113E+00,9.79004E+00
-1.166880E+01,8.76465E+00,1.05225E+01
-1.166640E+01,8.91113E+00,1.02295E+01
-1.166400E+01,9.05762E+00,9.83887E+00
-1.166160E+01,8.71582E+00,1.03760E+01
-1.165920E+01,8.76465E+00,9.98535E+00
-1.165680E+01,9.00879E+00,1.01318E+01
-1.165440E+01,8.76465E+00,1.05225E+01
-1.165200E+01,8.91113E+00,9.83887E+00
-1.164960E+01,8.86230E+00,9.79004E+00
-1.164720E+01,8.76465E+00,1.01807E+01
-1.164480E+01,8.76465E+00,9.64355E+00
-1.164240E+01,8.76465E+00,1.00342E+01
-1.164000E+01,8.81348E+00,1.03760E+01
-1.163760E+01,8.81348E+00,9.79004E+00
-1.163520E+01,8.76465E+00,1.02295E+01
-1.163280E+01,8.86230E+00,9.98535E+00
-1.163040E+01,8.71582E+00,9.64355E+00
-1.162800E+01,8.86230E+00,1.00342E+01
-1.162560E+01,8.86230E+00,9.79004E+00
-1.162320E+01,8.76465E+00,9.74121E+00
-1.162080E+01,8.66699E+00,1.02783E+01
-1.161840E+01,8.71582E+00,9.79004E+00
-1.161600E+01,8.56934E+00,9.74121E+00
-1.161360E+01,8.86230E+00,1.02295E+01
-1.161120E+01,8.81348E+00,9.59473E+00
-1.160880E+01,8.66699E+00,9.83887E+00
-1.160640E+01,8.71582E+00,1.03760E+01
-1.160400E+01,8.76465E+00,9.64355E+00
-1.160160E+01,8.66699E+00,9.74121E+00
-1.159920E+01,8.95996E+00,1.01807E+01
-1.159680E+01,8.66699E+00,9.44824E+00
-1.159440E+01,8.76465E+00,9.98535E+00
-1.159200E+01,8.86230E+00,1.02783E+01
-1.158960E+01,8.76465E+00,9.64355E+00
-1.158720E+01,8.66699E+00,9.83887E+00
-1.158480E+01,8.66699E+00,9.98535E+00
-1.158240E+01,8.61816E+00,9.39941E+00
-1.158000E+01,8.86230E+00,1.00342E+01
-1.157760E+01,8.81348E+00,9.64355E+00
-1.157520E+01,8.52051E+00,9.49707E+00
-1.157280E+01,8.66699E+00,1.00342E+01
-1.157040E+01,8.66699E+00,9.93652E+00
-1.156800E+01,8.61816E+00,9.39941E+00
-1.156560E+01,8.71582E+00,1.00342E+01
-1.156320E+01,8.61816E+00,9.64355E+00
-1.156080E+01,8.66699E+00,9.35059E+00
-1.155840E+01,8.71582E+00,9.98535E+00
-1.155600E+01,8.56934E+00,9.54590E+00
-1.155360E+01,8.52051E+00,9.35059E+00
-1.155120E+01,8.66699E+00,9.83887E+00
-1.154880E+01,8.42285E+00,9.35059E+00
-1.154640E+01,8.61816E+00,9.49707E+00
-1.154400E+01,8.47168E+00,9.98535E+00
-1.154160E+01,8.56934E+00,9.44824E+00
-1.153920E+01,8.66699E+00,9.64355E+00
-1.153680E+01,8.71582E+00,1.00342E+01
-1.153440E+01,8.52051E+00,9.20410E+00
-1.153200E+01,8.56934E+00,9.54590E+00
-1.152960E+01,8.47168E+00,1.00342E+01
-1.152720E+01,8.52051E+00,9.35059E+00
-1.152480E+01,8.42285E+00,9.54590E+00
