in s,C1 in V,C2 in V
-1.200000E+00,1.39893E+01,1.57471E+01
-1.199760E+00,1.39404E+01,1.60400E+01
-1.199520E+00,1.38428E+01,1.59912E+01
-1.199280E+00,1.41357E+01,1.61377E+01
-1.199040E+00,1.38916E+01,1.62842E+01
-1.198800E+00,1.39404E+01,1.61865E+01
-1.198560E+00,1.40869E+01,1.61377E+01
-1.198320E+00,1.40869E+01,1.61865E+01
-1.198080E+00,1.36963E+01,1.59912E+01
-1.197840E+00,1.39404E+01,1.55029E+01
-1.197600E+00,1.39893E+01,1.55029E+01
-1.197360E+00,1.39893E+01,1.53564E+01
-1.197120E+00,1.39893E+01,1.52588E+01
-1.196880E+00,1.41357E+01,1.50635E+01
-1.196640E+00,1.40381E+01,1.51611E+01
-1.196400E+00,1.39893E+01,1.52588E+01
-1.196160E+00,1.40381E+01,1.54541E+01
-1.195920E+00,1.37939E+01,1.55029E+01
-1.195680E+00,1.37939E+01,1.58936E+01
-1.195440E+00,1.38916E+01,1.59912E+01
-1.195200E+00,1.40381E+01,1.60889E+01
-1.194960E+00,1.40869E+01,1.62842E+01
-1.194720E+00,1.40381E+01,1.63330E+01
-1.194480E+00,1.39893E+01,1.62842E+01
-1.194240E+00,1.39404E+01,1.62842E+01
-1.194000E+00,1.41357E+01,1.62842E+01
-1.193760E+00,1.39404E+01,1.62842E+01
-1.193520E+00,1.38916E+01,1.56006E+01
-1.193280E+00,1.39893E+01,1.55518E+01
-1.193040E+00,1.41357E+01,1.54053E+01
-1.192800E+00,1.37939E+01,1.52588E+01
-1.192560E+00,1.38428E+01,1.54053E+01
-1.192320E+00,1.36475E+01,1.50146E+01
-1.192080E+00,1.39893E+01,1.50146E+01
-1.191840E+00,1.39893E+01,1.54541E+01
-1.191600E+00,1.40381E+01,1.55029E+01
-1.191360E+00,1.39404E+01,1.56494E+01
-1.191120E+00,1.39404E+01,1.56982E+01
-1.190880E+00,1.37451E+01,1.59424E+01
-1.190640E+00,1.38428E+01,1.61377E+01
-1.190400E+00,1.41357E+01,1.60889E+01
-1.190160E+00,1.40381E+01,1.61377E+01
-1.189920E+00,1.37939E+01,1.61865E+01
