in s,C1 in V,C2 in V
-3.880800E+00,9.69238E+00,1.14990E+01
-3.878400E+00,9.64355E+00,1.06201E+01
-3.876000E+00,9.83887E+00,1.10107E+01
-3.873600E+00,9.74121E+00,1.14502E+01
-3.871200E+00,9.49707E+00,1.05713E+01
-3.868800E+00,9.74121E+00,1.14014E+01
-3.866400E+00,9.69238E+00,1.09619E+01
-3.864000E+00,9.64355E+00,1.07666E+01
-3.861600E+00,9.64355E+00,1.14502E+01
-3.859200E+00,9.54590E+00,1.07666E+01
-3.856800E+00,9.69238E+00,1.12549E+01
-3.854400E+00,9.64355E+00,1.10596E+01
-3.852000E+00,9.69238E+00,1.06201E+01
-3.849600E+00,9.64355E+00,1.11572E+01
-3.847200E+00,9.59473E+00,1.06689E+01
-3.844800E+00,9.59473E+00,1.08643E+01
-3.842400E+00,9.69238E+00,1.11572E+01
-3.840000E+00,9.59473E+00,1.06689E+01
-3.837600E+00,9.64355E+00,1.12061E+01
-3.835200E+00,9.64355E+00,1.05713E+01
-3.832800E+00,9.69238E+00,1.06201E+01
-3.830400E+00,9.49707E+00,1.12061E+01
-3.828000E+00,9.54590E+00,1.05225E+01
-3.825600E+00,9.49707E+00,1.10596E+01
-3.823200E+00,9.64355E+00,1.08643E+01
-3.820800E+00,9.54590E+00,1.07666E+01
-3.818400E+00,9.64355E+00,1.13037E+01
-3.816000E+00,9.49707E+00,1.04248E+01
-3.813600E+00,9.49707E+00,1.08643E+01
-3.811200E+00,9.59473E+00,1.12549E+01
-3.808800E+00,9.49707E+00,1.05713E+01
-3.806400E+00,9.44824E+00,1.10107E+01
-3.804000E+00,9.54590E+00,1.08643E+01
-3.801600E+00,9.49707E+00,1.06201E+01
-3.799200E+00,9.54590E+00,1.09619E+01
-3.796800E+00,9.54590E+00,1.05225E+01
-3.794400E+00,9.49707E+00,1.12061E+01
-3.792000E+00,9.69238E+00,1.09619E+01
-3.789600E+00,9.49707E+00,1.03760E+01
-3.787200E+00,9.54590E+00,1.11572E+01
-3.784800E+00,9.54590E+00,1.05225E+01
-3.782400E+00,9.49707E+00,1.08154E+01
-3.780000E+00,9.54590E+00,1.10107E+01
-3.777600E+00,9.49707E+00,1.05713E+01
-3.775200E+00,9.64355E+00,1.11572E+01
-3.772800E+00,9.64355E+00,1.07666E+01
-3.770400E+00,9.59473E+00,1.06201E+01
-3.768000E+00,9.64355E+00,1.13037E+01
-3.765600E+00,9.64355E+00,1.05225E+01
-3.763200E+00,9.49707E+00,1.08154E+01
-3.760800E+00,9.49707E+00,1.10107E+01
-3.758400E+00,9.79004E+00,1.02295E+01
-3.756000E+00,9.49707E+00,1.11572E+01
-3.753600E+00,9.49707E+00,1.09131E+01
-3.751200E+00,9.49707E+00,1.05225E+01
