in s,C1 in V,C2 in V
-6.00000E-01,8.27637E+00,1.33057E+01
-5.99880E-01,8.42285E+00,1.34033E+01
-5.99760E-01,8.42285E+00,1.35010E+01
-5.99640E-01,8.42285E+00,1.34521E+01
-5.99520E-01,8.37402E+00,1.36475E+01
-5.99400E-01,8.22754E+00,1.35010E+01
-5.99280E-01,8.27637E+00,1.36475E+01
-5.99160E-01,8.22754E+00,1.34521E+01
-5.99040E-01,8.32520E+00,1.35498E+01
-5.98920E-01,8.27637E+00,1.34521E+01
-5.98800E-01,8.37402E+00,1.34521E+01
-5.98680E-01,8.27637E+00,1.35986E+01
-5.98560E-01,8.22754E+00,1.35986E+01
-5.98440E-01,8.27637E+00,1.34521E+01
-5.98320E-01,8.22754E+00,1.33545E+01
-5.98200E-01,8.37402E+00,1.34033E+01
-5.98080E-01,8.17871E+00,1.26221E+01
-5.97960E-01,8.37402E+00,1.34521E+01
-5.97840E-01,8.27637E+00,1.30127E+01
-5.97720E-01,8.37402E+00,1.28662E+01
-5.97600E-01,8.37402E+00,1.30127E+01
-5.97480E-01,8.17871E+00,1.27686E+01
-5.97360E-01,8.32520E+00,1.27197E+01
-5.97240E-01,8.22754E+00,1.29150E+01
-5.97120E-01,8.27637E+00,1.27686E+01
-5.97000E-01,8.27637E+00,1.26709E+01
-5.96880E-01,8.27637E+00,1.25732E+01
-5.96760E-01,8.12988E+00,1.25732E+01
-5.96640E-01,8.37402E+00,1.25244E+01
-5.96520E-01,8.22754E+00,1.27197E+01
-5.96400E-01,8.42285E+00,1.25244E+01
-5.96280E-01,8.12988E+00,1.26221E+01
-5.96160E-01,8.17871E+00,1.27197E+01
-5.96040E-01,8.27637E+00,1.26709E+01
-5.95920E-01,8.27637E+00,1.26709E+01
-5.95800E-01,8.37402E+00,1.29150E+01
-5.95680E-01,8.37402E+00,1.28662E+01
-5.95560E-01,8.22754E+00,1.28662E+01
-5.95440E-01,8.22754E+00,1.29639E+01
-5.95320E-01,8.22754E+00,1.31104E+01
-5.95200E-01,8.27637E+00,1.31104E+01
-5.95080E-01,8.32520E+00,1.31104E+01
-5.94960E-01,8.47168E+00,1.31592E+01
-5.94840E-01,8.22754E+00,1.31104E+01
-5.94720E-01,8.22754E+00,1.32568E+01
-5.94600E-01,8.08105E+00,1.34033E+01
-5.94480E-01,8.12988E+00,1.34521E+01
-5.94360E-01,8.22754E+00,1.34521E+01
-5.94240E-01,8.22754E+00,1.35010E+01
-5.94120E-01,8.27637E+00,1.35498E+01
-5.94000E-01,8.22754E+00,1.35010E+01
-5.93880E-01,8.22754E+00,1.34521E+01
-5.93760E-01,8.27637E+00,1.33545E+01
-5.93640E-01,8.32520E+00,1.32568E+01
-5.93520E-01,8.22754E+00,1.33545E+01
-5.93400E-01,8.32520E+00,1.32080E+01
-5.93280E-01,8.37402E+00,1.32568E+01
-5.93160E-01,8.22754E+00,1.32568E+01
-5.93040E-01,8.12988E+00,1.29150E+01
-5.92920E-01,8.22754E+00,1.30127E+01
-5.92800E-01,8.22754E+00,1.28174E+01
-5.92680E-01,8.32520E+00,1.27197E+01
-5.92560E-01,8.17871E+00,1.25244E+01
-5.92440E-01,8.27637E+00,1.25732E+01
-5.92320E-01,8.27637E+00,1.26709E+01
-5.92200E-01,8.08105E+00,1.24756E+01
-5.92080E-01,8.32520E+00,1.23291E+01
-5.91960E-01,8.27637E+00,1.27197E+01
-5.91840E-01,8.27637E+00,1.23779E+01
-5.91720E-01,8.22754E+00,1.25244E+01
-5.91600E-01,8.42285E+00,1.24756E+01
