in s,C1 in V,C2 in V,C3 in V
9.000000E-03,1.38916E+01,7.39746E+00,2.02148E-01
9.000000E-03,1.48193E+01,8.17871E+00,3.03711E-01
9.600000E-03,1.38916E+01,7.39746E+00,2.02148E-01
9.600000E-03,1.48193E+01,8.17871E+00,3.03711E-01
1.020000E-02,1.40381E+01,7.20215E+00,2.06055E-01
1.020000E-02,1.47705E+01,8.17871E+00,2.99805E-01
1.080000E-02,1.40381E+01,7.20215E+00,2.06055E-01
1.080000E-02,1.47705E+01,8.17871E+00,2.91992E-01
1.140000E-02,1.40381E+01,7.34863E+00,2.06055E-01
1.140000E-02,1.47705E+01,8.12988E+00,2.91992E-01
1.200000E-02,1.40381E+01,7.34863E+00,2.06055E-01
1.200000E-02,1.47705E+01,8.08105E+00,2.90039E-01
1.260000E-02,1.40381E+01,7.34863E+00,2.06055E-01
1.260000E-02,1.47705E+01,8.17871E+00,2.86133E-01
1.320000E-02,1.40381E+01,7.39746E+00,2.25586E-01
1.320000E-02,1.47705E+01,8.32519E+00,2.74414E-01
1.380000E-02,1.40381E+01,7.44629E+00,2.23633E-01
1.380000E-02,1.47705E+01,8.47168E+00,2.70508E-01
1.440000E-02,1.40381E+01,7.59277E+00,2.21680E-01
1.440000E-02,1.47705E+01,8.71582E+00,2.70508E-01
1.500000E-02,1.40381E+01,7.78809E+00,2.11914E-01
1.500000E-02,1.47705E+01,8.95996E+00,2.70508E-01
1.560000E-02,1.40381E+01,8.08105E+00,2.11914E-01
1.560000E-02,1.47705E+01,9.05762E+00,2.70508E-01
1.620000E-02,1.40381E+01,8.22754E+00,1.90430E-01
1.620000E-02,1.47705E+01,9.20410E+00,2.78320E-01
1.680000E-02,1.39893E+01,8.42285E+00,1.90430E-01
1.680000E-02,1.48193E+01,9.30176E+00,2.78320E-01
1.740000E-02,1.39893E+01,8.47168E+00,1.88477E-01
1.740000E-02,1.48193E+01,9.30176E+00,2.82227E-01
1.800000E-02,1.40381E+01,8.56934E+00,1.88477E-01
1.800000E-02,1.47705E+01,9.30176E+00,2.82227E-01
1.860000E-02,1.40381E+01,8.27637E+00,1.96289E-01
1.860000E-02,1.47705E+01,9.30176E+00,2.70508E-01
1.920000E-02,1.40381E+01,8.22754E+00,1.90430E-01
1.920000E-02,1.48193E+01,9.30176E+00,2.78320E-01
1.980000E-02,1.40381E+01,8.17871E+00,1.84570E-01
1.980000E-02,1.48193E+01,9.05762E+00,2.78320E-01
2.040000E-02,1.40381E+01,8.17871E+00,1.84570E-01
2.040000E-02,1.48193E+01,9.05762E+00,2.78320E-01
2.100000E-02,1.40381E+01,8.22754E+00,1.92383E-01
2.100000E-02,1.47705E+01,9.10644E+00,2.72461E-01
2.160000E-02,1.40381E+01,8.32519E+00,2.06055E-01
2.160000E-02,1.47705E+01,9.30176E+00,2.58789E-01
2.220000E-02,1.40381E+01,8.42285E+00,2.02148E-01
2.220000E-02,1.47705E+01,9.49707E+00,2.52930E-01
2.280000E-02,1.40381E+01,8.61816E+00,2.02148E-01
2.280000E-02,1.47705E+01,9.79004E+00,2.50977E-01
2.340000E-02,1.40869E+01,8.81348E+00,1.92383E-01
2.340000E-02,1.48193E+01,9.93652E+00,2.52930E-01
2.400000E-02,1.40869E+01,9.05762E+00,1.84570E-01
2.400000E-02,1.48193E+01,1.00342E+01,2.52930E-01
2.460000E-02,1.40869E+01,9.25293E+00,1.70898E-01
2.460000E-02,1.48193E+01,1.01318E+01,2.54883E-01
2.520000E-02,1.40869E+01,9.30176E+00,1.65039E-01
2.520000E-02,1.48193E+01,1.01807E+01,2.54883E-01
2.580000E-02,1.40869E+01,9.15527E+00,1.59180E-01
2.580000E-02,1.48193E+01,1.01807E+01,2.60742E-01
2.640000E-02,1.40381E+01,9.05762E+00,1.59180E-01
2.640000E-02,1.48193E+01,1.01807E+01,2.60742E-01
2.700000E-02,1.40381E+01,9.00879E+00,1.82617E-01
2.700000E-02,1.48193E+01,1.00342E+01,2.41211E-01
2.760000E-02,1.40381E+01,9.00879E+00,1.68945E-01
2.760000E-02,1.48193E+01,9.83887E+00,2.56836E-01
2.820000E-02,1.40869E+01,9.00879E+00,1.65039E-01
2.820000E-02,1.48193E+01,9.98535E+00,2.56836E-01
2.880000E-02,1.40869E+01,9.05762E+00,1.65039E-01
2.880000E-02,1.48193E+01,1.01318E+01,2.49023E-01
2.940000E-02,1.40869E+01,9.20410E+00,1.70898E-01
2.940000E-02,1.48193E+01,1.03760E+01,2.49023E-01
3.000000E-02,1.40869E+01,9.39941E+00,1.78711E-01
3.000000E-02,1.48193E+01,1.06201E+01,2.27539E-01
3.060000E-02,1.40869E+01,9.69238E+00,1.78711E-01
3.060000E-02,1.48193E+01,1.08154E+01,2.31445E-01
3.120000E-02,1.40869E+01,9.88769E+00,1.72852E-01
3.120000E-02,1.48193E+01,1.09131E+01,2.31445E-01
3.180000E-02,1.41357E+01,1.00830E+01,1.68945E-01
3.180000E-02,1.48193E+01,1.09131E+01,2.25586E-01
3.240000E-02,1.41357E+01,1.00342E+01,1.59180E-01
3.240000E-02,1.48682E+01,1.09619E+01,2.31445E-01
3.300000E-02,1.40869E+01,9.59473E+00,1.59180E-01
3.300000E-02,1.48682E+01,1.09619E+01,2.39258E-01
