in s,C1 in V,C2 in V
-3.00000E-01,8.32520E+00,1.30615E+01
-2.99940E-01,8.56934E+00,1.31104E+01
-2.99880E-01,8.37402E+00,1.31104E+01
-2.99820E-01,8.32520E+00,1.32080E+01
-2.99760E-01,8.61816E+00,1.33545E+01
-2.99700E-01,8.56934E+00,1.34521E+01
-2.99640E-01,8.52051E+00,1.34033E+01
-2.99580E-01,8.47168E+00,1.34033E+01
-2.99520E-01,8.42285E+00,1.34033E+01
-2.99460E-01,8.52051E+00,1.34033E+01
-2.99400E-01,8.42285E+00,1.34521E+01
-2.99340E-01,8.42285E+00,1.35986E+01
-2.99280E-01,8.47168E+00,1.34033E+01
-2.99220E-01,8.52051E+00,1.34521E+01
-2.99160E-01,8.47168E+00,1.36963E+01
-2.99100E-01,8.71582E+00,1.35986E+01
-2.99040E-01,8.56934E+00,1.34521E+01
-2.98980E-01,8.47168E+00,1.35010E+01
-2.98920E-01,8.47168E+00,1.34033E+01
-2.98860E-01,8.56934E+00,1.34521E+01
-2.98800E-01,8.42285E+00,1.36475E+01
-2.98740E-01,8.42285E+00,1.36475E+01
-2.98680E-01,8.56934E+00,1.37451E+01
-2.98620E-01,8.42285E+00,1.36475E+01
-2.98560E-01,8.66699E+00,1.35986E+01
-2.98500E-01,8.47168E+00,1.35010E+01
-2.98440E-01,8.61816E+00,1.35986E+01
-2.98380E-01,8.47168E+00,1.34033E+01
-2.98320E-01,8.42285E+00,1.35986E+01
-2.98260E-01,8.52051E+00,1.34521E+01
-2.98200E-01,8.66699E+00,1.32568E+01
-2.98140E-01,8.76465E+00,1.34033E+01
-2.98080E-01,8.56934E+00,1.34521E+01
-2.98020E-01,8.52051E+00,1.34521E+01
-2.97960E-01,8.66699E+00,1.32568E+01
-2.97900E-01,8.76465E+00,1.33545E+01
-2.97840E-01,8.56934E+00,1.30615E+01
-2.97780E-01,8.52051E+00,1.30127E+01
-2.97720E-01,8.76465E+00,1.31104E+01
-2.97660E-01,8.66699E+00,1.27197E+01
-2.97600E-01,8.66699E+00,1.28662E+01
-2.97540E-01,8.71582E+00,1.29639E+01
-2.97480E-01,8.71582E+00,1.27686E+01
-2.97420E-01,8.61816E+00,1.28662E+01
-2.97360E-01,8.76465E+00,1.27197E+01
-2.97300E-01,8.56934E+00,1.28174E+01
-2.97240E-01,8.81348E+00,1.27197E+01
-2.97180E-01,8.76465E+00,1.25244E+01
-2.97120E-01,8.47168E+00,1.25732E+01
-2.97060E-01,8.66699E+00,1.27197E+01
-2.97000E-01,8.76465E+00,1.26221E+01
-2.96940E-01,8.47168E+00,1.25732E+01
-2.96880E-01,8.81348E+00,1.25244E+01
-2.96820E-01,8.56934E+00,1.25244E+01
-2.96760E-01,8.66699E+00,1.23291E+01
-2.96700E-01,8.76465E+00,1.24268E+01
-2.96640E-01,8.95996E+00,1.24756E+01
-2.96580E-01,8.76465E+00,1.24268E+01
-2.96520E-01,8.86230E+00,1.23291E+01
-2.96460E-01,8.91113E+00,1.24268E+01
-2.96400E-01,8.95996E+00,1.26221E+01
-2.96340E-01,9.00879E+00,1.24756E+01
-2.96280E-01,8.81348E+00,1.24756E+01
-2.96220E-01,8.95996E+00,1.22314E+01
-2.96160E-01,8.66699E+00,1.24756E+01
-2.96100E-01,8.95996E+00,1.25244E+01
-2.96040E-01,8.95996E+00,1.24756E+01
-2.95980E-01,8.81348E+00,1.23779E+01
-2.95920E-01,9.00879E+00,1.24756E+01
-2.95860E-01,9.00879E+00,1.25732E+01
-2.95800E-01,8.91113E+00,1.23779E+01
-2.95740E-01,9.00879E+00,1.26221E+01
-2.95680E-01,9.10645E+00,1.24756E+01
-2.95620E-01,9.00879E+00,1.25732E+01
-2.95560E-01,8.91113E+00,1.25244E+01
-2.95500E-01,8.95996E+00,1.24756E+01
-2.95440E-01,9.05762E+00,1.26709E+01
-2.95380E-01,8.91113E+00,1.26709E+01
-2.95320E-01,9.05762E+00,1.26709E+01
