in s,C1 in V,C2 in V
-5.84760E+00,1.40869E+01,1.61377E+01
-5.84640E+00,1.40869E+01,1.59912E+01
-5.84520E+00,1.40381E+01,1.70166E+01
-5.84400E+00,1.40869E+01,1.67725E+01
-5.84280E+00,1.39893E+01,1.59424E+01
-5.84160E+00,1.40869E+01,1.66748E+01
-5.84040E+00,1.39893E+01,1.72607E+01
-5.83920E+00,1.41357E+01,1.62842E+01
-5.83800E+00,1.41357E+01,1.64307E+01
-5.83680E+00,1.40381E+01,1.71631E+01
-5.83560E+00,1.41357E+01,1.65283E+01
-5.83440E+00,1.42334E+01,1.61377E+01
-5.83320E+00,1.41846E+01,1.69189E+01
-5.83200E+00,1.40869E+01,1.70166E+01
-5.83080E+00,1.41357E+01,1.61377E+01
-5.82960E+00,1.41357E+01,1.62842E+01
-5.82840E+00,1.40381E+01,1.71631E+01
-5.82720E+00,1.40381E+01,1.66260E+01
-5.82600E+00,1.42334E+01,1.60889E+01
-5.82480E+00,1.41357E+01,1.69678E+01
-5.82360E+00,1.41846E+01,1.70654E+01
-5.82240E+00,1.39404E+01,1.62842E+01
-5.82120E+00,1.41357E+01,1.68213E+01
-5.82000E+00,1.40869E+01,1.73096E+01
-5.81880E+00,1.39893E+01,1.62842E+01
-5.81760E+00,1.40381E+01,1.61377E+01
-5.81640E+00,1.38916E+01,1.71143E+01
-5.81520E+00,1.41357E+01,1.64795E+01
-5.81400E+00,1.40869E+01,1.62842E+01
-5.81280E+00,1.44287E+01,1.69189E+01
-5.81160E+00,1.39893E+01,1.72119E+01
-5.81040E+00,1.40869E+01,1.61377E+01
-5.80920E+00,1.41357E+01,1.66260E+01
-5.80800E+00,1.41357E+01,1.70654E+01
-5.80680E+00,1.41357E+01,1.63818E+01
-5.80560E+00,1.41357E+01,1.63330E+01
-5.80440E+00,1.40381E+01,1.72119E+01
-5.80320E+00,1.41357E+01,1.73584E+01
-5.80200E+00,1.41357E+01,1.61377E+01
-5.80080E+00,1.41357E+01,1.64795E+01
-5.79960E+00,1.41357E+01,1.70166E+01
-5.79840E+00,1.41357E+01,1.63818E+01
-5.79720E+00,1.43311E+01,1.61377E+01
-5.79600E+00,1.40869E+01,1.70654E+01
-5.79480E+00,1.41357E+01,1.68213E+01
-5.79360E+00,1.41357E+01,1.63330E+01
-5.79240E+00,1.39893E+01,1.70166E+01
-5.79120E+00,1.41846E+01,1.73584E+01
-5.79000E+00,1.40869E+01,1.60889E+01
-5.78880E+00,1.41357E+01,1.66260E+01
-5.78760E+00,1.40869E+01,1.73096E+01
-5.78640E+00,1.42334E+01,1.63818E+01
-5.78520E+00,1.41357E+01,1.59912E+01
-5.78400E+00,1.41357E+01,1.70654E+01
-5.78280E+00,1.41846E+01,1.73096E+01
-5.78160E+00,1.40869E+01,1.61377E+01
-5.78040E+00,1.41357E+01,1.69189E+01
-5.77920E+00,1.41357E+01,1.75049E+01
-5.77800E+00,1.40381E+01,1.62842E+01
-5.77680E+00,1.41846E+01,1.65283E+01
-5.77560E+00,1.41357E+01,1.74072E+01
-5.77440E+00,1.40869E+01,1.69189E+01
-5.77320E+00,1.40381E+01,1.61865E+01
-5.77200E+00,1.39893E+01,1.69678E+01
-5.77080E+00,1.40381E+01,1.71631E+01
-5.76960E+00,1.41357E+01,1.63330E+01
-5.76840E+00,1.41846E+01,1.66748E+01
-5.76720E+00,1.41846E+01,1.71631E+01
-5.76600E+00,1.41846E+01,1.64307E+01
-5.76480E+00,1.41357E+01,1.65771E+01
-5.76360E+00,1.43311E+01,1.73584E+01
-5.76240E+00,1.41357E+01,1.69678E+01
-5.76120E+00,1.41357E+01,1.59912E+01
-5.76000E+00,1.41357E+01,1.68213E+01
-5.75880E+00,1.40869E+01,1.73584E+01
-5.75760E+00,1.41846E+01,1.63330E+01
-5.75640E+00,1.41357E+01,1.66748E+01
-5.75520E+00,1.41846E+01,1.73584E+01
-5.75400E+00,1.40381E+01,1.69189E+01
-5.75280E+00,1.41357E+01,1.62842E+01
-5.75160E+00,1.41357E+01,1.71143E+01
-5.75040E+00,1.39893E+01,1.73584E+01
-5.74920E+00,1.42334E+01,1.64307E+01
-5.74800E+00,1.41357E+01,1.69189E+01
-5.74680E+00,1.42334E+01,1.74561E+01
-5.74560E+00,1.39893E+01,1.61377E+01
-5.74440E+00,1.41357E+01,1.64307E+01
-5.74320E+00,1.41357E+01,1.72607E+01
-5.74200E+00,1.41846E+01,1.70166E+01
-5.74080E+00,1.41357E+01,1.61377E+01
-5.73960E+00,1.41357E+01,1.70166E+01
-5.73840E+00,1.40381E+01,1.73584E+01
-5.73720E+00,1.41357E+01,1.63818E+01
-5.73600E+00,1.40869E+01,1.67236E+01
-5.73480E+00,1.43311E+01,1.74561E+01
-5.73360E+00,1.41846E+01,1.64795E+01
-5.73240E+00,1.41846E+01,1.63330E+01
-5.73120E+00,1.39893E+01,1.73096E+01
-5.73000E+00,1.40381E+01,1.71143E+01
-5.72880E+00,1.42822E+01,1.61865E+01
-5.72760E+00,1.40869E+01,1.69678E+01
-5.72640E+00,1.41357E+01,1.75049E+01
-5.72520E+00,1.41357E+01,1.63330E+01
-5.72400E+00,1.40381E+01,1.65283E+01
-5.72280E+00,1.42822E+01,1.73584E+01
-5.72160E+00,1.43311E+01,1.66260E+01
-5.72040E+00,1.41357E+01,1.63818E+01
-5.71920E+00,1.41357E+01,1.73096E+01
-5.71800E+00,1.40869E+01,1.74072E+01
-5.71680E+00,1.41357E+01,1.64795E+01
-5.71560E+00,1.39893E+01,1.66748E+01
-5.71440E+00,1.40381E+01,1.74072E+01
-5.71320E+00,1.40869E+01,1.65283E+01
-5.71200E+00,1.40869E+01,1.63818E+01
-5.71080E+00,1.41846E+01,1.71631E+01
-5.70960E+00,1.39893E+01,1.70166E+01
-5.70840E+00,1.41846E+01,1.62842E+01
-5.70720E+00,1.40869E+01,1.71631E+01
-5.70600E+00,1.41357E+01,1.73584E+01
-5.70480E+00,1.41357E+01,1.63330E+01
-5.70360E+00,1.40869E+01,1.67725E+01
-5.70240E+00,1.42822E+01,1.74561E+01
-5.70120E+00,1.41357E+01,1.66260E+01
-5.70000E+00,1.42334E+01,1.63330E+01
-5.69880E+00,1.41357E+01,1.74561E+01
-5.69760E+00,1.42822E+01,1.71631E+01
-5.69640E+00,1.38428E+01,1.62842E+01
-5.69520E+00,1.41357E+01,1.69189E+01
-5.69400E+00,1.41846E+01,1.73096E+01
-5.69280E+00,1.41357E+01,1.65283E+01
-5.69160E+00,1.39893E+01,1.68213E+01
-5.69040E+00,1.42822E+01,1.74561E+01
-5.68920E+00,1.40381E+01,1.68701E+01
-5.68800E+00,1.40869E+01,1.62354E+01
-5.68680E+00,1.41357E+01,1.70166E+01
-5.68560E+00,1.42334E+01,1.73584E+01
-5.68440E+00,1.40869E+01,1.62354E+01
-5.68320E+00,1.41846E+01,1.67725E+01
-5.68200E+00,1.41357E+01,1.74072E+01
-5.68080E+00,1.42334E+01,1.63818E+01
-5.67960E+00,1.42334E+01,1.64795E+01
-5.67840E+00,1.41357E+01,1.73584E+01
-5.67720E+00,1.41357E+01,1.67236E+01
-5.67600E+00,1.40869E+01,1.64307E+01
-5.67480E+00,1.41357E+01,1.71631E+01
-5.67360E+00,1.41846E+01,1.75049E+01
-5.67240E+00,1.41846E+01,1.65283E+01
-5.67120E+00,1.40381E+01,1.68213E+01
-5.67000E+00,1.41357E+01,1.73584E+01
-5.66880E+00,1.41846E+01,1.65283E+01
-5.66760E+00,1.40381E+01,1.66748E+01
-5.66640E+00,1.39893E+01,1.74561E+01
-5.66520E+00,1.39893E+01,1.66748E+01
-5.66400E+00,1.41357E+01,1.62842E+01
-5.66280E+00,1.41357E+01,1.72607E+01
-5.66160E+00,1.41357E+01,1.74561E+01
-5.66040E+00,1.41357E+01,1.64795E+01
-5.65920E+00,1.41846E+01,1.65771E+01
-5.65800E+00,1.41357E+01,1.72607E+01
-5.65680E+00,1.40869E+01,1.69678E+01
-5.65560E+00,1.40869E+01,1.64795E+01
-5.65440E+00,1.41357E+01,1.72119E+01
-5.65320E+00,1.41846E+01,1.70654E+01
-5.65200E+00,1.39893E+01,1.65771E+01
-5.65080E+00,1.40381E+01,1.70166E+01
